drug,tissue,feature,iter,model,Train Accuracy,Test Accuracy,Test Balanced Accuracy,Test TN,Test FP,Test FN,Test TP
Atezo,BLCA,curvature,0,LinearSVM,0.7174887892376681,0.52,0.4401622718052738,34,24,12,5
Atezo,BLCA,curvature,1,LinearSVM,0.6591928251121076,0.52,0.4817444219066937,32,26,10,7
Atezo,BLCA,curvature,2,LinearSVM,0.6771300448430493,0.6266666666666667,0.592292089249493,38,20,8,9
Atezo,BLCA,weights,0,LinearSVM,1.0,0.64,0.5385395537525355,42,16,11,6
Atezo,BLCA,weights,1,LinearSVM,1.0,0.7066666666666667,0.5816430020283976,47,11,11,6
Atezo,BLCA,weights,2,LinearSVM,1.0,0.6533333333333333,0.547160243407708,43,15,11,6
Atezo,BLCA,expression,0,LinearSVM,0.968609865470852,0.64,0.5385395537525355,42,16,11,6
Atezo,BLCA,expression,1,LinearSVM,0.9641255605381166,0.68,0.6059837728194726,43,15,9,8
Atezo,BLCA,expression,2,LinearSVM,1.0,0.64,0.5177484787018256,43,15,12,5
Atezo,BLCA,curvature,0,RBF_SVM,0.9820627802690582,0.7466666666666667,0.5035496957403651,55,3,16,1
Atezo,BLCA,curvature,1,RBF_SVM,0.9955156950672646,0.7466666666666667,0.5035496957403651,55,3,16,1
Atezo,BLCA,curvature,2,RBF_SVM,1.0,0.7733333333333333,0.5207910750507099,57,1,16,1
Atezo,BLCA,weights,0,RBF_SVM,0.9955156950672646,0.7866666666666666,0.5709939148073022,56,2,14,3
Atezo,BLCA,weights,1,RBF_SVM,1.0,0.7733333333333333,0.5,58,0,17,0
Atezo,BLCA,weights,2,RBF_SVM,1.0,0.7733333333333333,0.5,58,0,17,0
Atezo,BLCA,expression,0,RBF_SVM,0.9955156950672646,0.6933333333333334,0.4898580121703854,50,8,15,2
Atezo,BLCA,expression,1,RBF_SVM,1.0,0.7733333333333333,0.5,58,0,17,0
Atezo,BLCA,expression,2,RBF_SVM,1.0,0.7733333333333333,0.5,58,0,17,0
