drug,tissue,feature,iter,model,Train Accuracy,Test Accuracy,Test Balanced Accuracy,Test TN,Test FP,Test FN,Test TP
Atezo,KIRC,curvature,0,LinearSVM,0.696,0.5238095238095238,0.4916666666666667,17,13,7,5
Atezo,KIRC,curvature,1,LinearSVM,0.544,0.4523809523809524,0.41666666666666663,15,15,8,4
Atezo,KIRC,curvature,2,LinearSVM,0.584,0.47619047619047616,0.5333333333333333,12,18,4,8
Atezo,KIRC,weights,0,LinearSVM,1.0,0.7142857142857143,0.7,22,8,4,8
Atezo,KIRC,weights,1,LinearSVM,1.0,0.5714285714285714,0.525,19,11,7,5
Atezo,KIRC,weights,2,LinearSVM,0.992,0.5952380952380952,0.5916666666666667,18,12,5,7
Atezo,KIRC,expression,0,LinearSVM,1.0,0.5952380952380952,0.5416666666666666,20,10,7,5
Atezo,KIRC,expression,1,LinearSVM,0.976,0.6904761904761905,0.6333333333333333,23,7,6,6
Atezo,KIRC,expression,2,LinearSVM,1.0,0.47619047619047616,0.43333333333333335,16,14,8,4
Atezo,KIRC,curvature,0,RBF_SVM,0.904,0.5714285714285714,0.44999999999999996,22,8,10,2
Atezo,KIRC,curvature,1,RBF_SVM,0.84,0.6190476190476191,0.5333333333333333,22,8,8,4
Atezo,KIRC,curvature,2,RBF_SVM,0.952,0.6428571428571429,0.5,25,5,10,2
Atezo,KIRC,weights,0,RBF_SVM,0.904,0.6190476190476191,0.5333333333333333,22,8,8,4
Atezo,KIRC,weights,1,RBF_SVM,1.0,0.7142857142857143,0.5,30,0,12,0
Atezo,KIRC,weights,2,RBF_SVM,0.912,0.6190476190476191,0.5333333333333333,22,8,8,4
Atezo,KIRC,expression,0,RBF_SVM,0.976,0.6190476190476191,0.45833333333333337,25,5,11,1
Atezo,KIRC,expression,1,RBF_SVM,1.0,0.7142857142857143,0.5,30,0,12,0
Atezo,KIRC,expression,2,RBF_SVM,0.984,0.6428571428571429,0.525,24,6,9,3
