drug,tissue,feature,iter,model,Train Accuracy,Test Accuracy,Test Balanced Accuracy,Test TN,Test FP,Test FN,Test TP
Nivo,SKCM,curvature,0,LinearSVM,0.5925925925925926,0.4642857142857143,0.5175438596491228,7,12,3,6
Nivo,SKCM,curvature,1,LinearSVM,0.6790123456790124,0.6428571428571429,0.6491228070175439,12,7,3,6
Nivo,SKCM,curvature,2,LinearSVM,0.5802469135802469,0.6071428571428571,0.5350877192982456,14,5,6,3
Nivo,SKCM,curvature,3,LinearSVM,0.7160493827160493,0.39285714285714285,0.43567251461988304,6,13,4,5
Nivo,SKCM,curvature,4,LinearSVM,0.6419753086419753,0.42857142857142855,0.49122807017543857,6,13,3,6
Nivo,SKCM,curvature,5,LinearSVM,0.6172839506172839,0.42857142857142855,0.4619883040935673,7,12,4,5
Nivo,SKCM,curvature,6,LinearSVM,0.5925925925925926,0.5,0.5438596491228069,8,11,3,6
Nivo,SKCM,curvature,7,LinearSVM,0.7283950617283951,0.4642857142857143,0.4298245614035088,10,9,6,3
Nivo,SKCM,curvature,8,LinearSVM,0.6666666666666666,0.39285714285714285,0.4064327485380117,7,12,5,4
Nivo,SKCM,curvature,9,LinearSVM,0.5679012345679012,0.5,0.5438596491228069,8,11,3,6
Nivo,SKCM,curvature,10,LinearSVM,0.7407407407407407,0.5,0.5730994152046783,7,12,2,7
Nivo,SKCM,curvature,11,LinearSVM,0.6666666666666666,0.5357142857142857,0.45321637426900585,13,6,7,2
Nivo,SKCM,curvature,12,LinearSVM,0.7283950617283951,0.35714285714285715,0.38011695906432746,6,13,5,4
Nivo,SKCM,curvature,13,LinearSVM,0.6049382716049383,0.5,0.5438596491228069,8,11,3,6
Nivo,SKCM,curvature,14,LinearSVM,0.5432098765432098,0.32142857142857145,0.3830409356725146,4,15,4,5
Nivo,SKCM,curvature,15,LinearSVM,0.6296296296296297,0.32142857142857145,0.3830409356725146,4,15,4,5
Nivo,SKCM,curvature,16,LinearSVM,0.5308641975308642,0.35714285714285715,0.4093567251461988,5,14,4,5
Nivo,SKCM,curvature,17,LinearSVM,0.654320987654321,0.5357142857142857,0.5116959064327485,11,8,5,4
Nivo,SKCM,curvature,18,LinearSVM,0.5185185185185185,0.5357142857142857,0.5701754385964912,9,10,3,6
Nivo,SKCM,curvature,19,LinearSVM,0.5308641975308642,0.35714285714285715,0.43859649122807015,4,15,3,6
Nivo,SKCM,curvature,20,LinearSVM,0.6419753086419753,0.5357142857142857,0.48245614035087714,12,7,6,3
Nivo,SKCM,curvature,21,LinearSVM,0.6049382716049383,0.6428571428571429,0.6198830409356726,13,6,4,5
Nivo,SKCM,curvature,22,LinearSVM,0.6049382716049383,0.5357142857142857,0.6578947368421053,6,13,0,9
