drug,tissue,feature,iter,model,Train Accuracy,Test Accuracy,Test Balanced Accuracy,Test TN,Test FP,Test FN,Test TP
Pembro,SKCM,curvature,0,LinearSVM,0.6041666666666666,0.5454545454545454,0.5300751879699248,12,7,8,6
Pembro,SKCM,curvature,1,LinearSVM,0.5520833333333334,0.48484848484848486,0.49624060150375937,8,11,6,8
Pembro,SKCM,curvature,2,LinearSVM,0.59375,0.3939393939393939,0.3609022556390977,11,8,12,2
Pembro,SKCM,curvature,3,LinearSVM,0.6354166666666666,0.5454545454545454,0.5206766917293233,13,6,9,5
Pembro,SKCM,curvature,4,LinearSVM,0.5833333333333334,0.5757575757575758,0.556390977443609,13,6,8,6
Pembro,SKCM,curvature,5,LinearSVM,0.6145833333333334,0.42424242424242425,0.40601503759398494,10,9,10,4
Pembro,SKCM,curvature,6,LinearSVM,0.5729166666666666,0.5454545454545454,0.5394736842105263,11,8,7,7
Pembro,SKCM,curvature,7,LinearSVM,0.59375,0.48484848484848486,0.49624060150375937,8,11,6,8
Pembro,SKCM,curvature,8,LinearSVM,0.59375,0.42424242424242425,0.4342105263157895,7,12,7,7
Pembro,SKCM,curvature,9,LinearSVM,0.59375,0.45454545454545453,0.4699248120300752,7,12,6,8
Pembro,SKCM,curvature,10,LinearSVM,0.5833333333333334,0.5151515151515151,0.5319548872180451,8,11,5,9
Pembro,SKCM,curvature,11,LinearSVM,0.5104166666666666,0.42424242424242425,0.48120300751879697,2,17,2,12
Pembro,SKCM,curvature,12,LinearSVM,0.5833333333333334,0.48484848484848486,0.47744360902255634,10,9,8,6
Pembro,SKCM,curvature,13,LinearSVM,0.5833333333333334,0.48484848484848486,0.45864661654135336,12,7,10,4
Pembro,SKCM,curvature,14,LinearSVM,0.6041666666666666,0.48484848484848486,0.45864661654135336,12,7,10,4
Pembro,SKCM,curvature,15,LinearSVM,0.59375,0.42424242424242425,0.4530075187969925,5,14,5,9
Pembro,SKCM,curvature,16,LinearSVM,0.6145833333333334,0.5151515151515151,0.513157894736842,10,9,7,7
Pembro,SKCM,curvature,17,LinearSVM,0.5729166666666666,0.5151515151515151,0.5037593984962406,11,8,8,6
Pembro,SKCM,curvature,18,LinearSVM,0.6041666666666666,0.5151515151515151,0.4849624060150376,13,6,10,4
Pembro,SKCM,curvature,19,LinearSVM,0.53125,0.5454545454545454,0.5206766917293233,13,6,9,5
Pembro,SKCM,curvature,20,LinearSVM,0.5833333333333334,0.48484848484848486,0.45864661654135336,12,7,10,4
Pembro,SKCM,curvature,21,LinearSVM,0.625,0.48484848484848486,0.5244360902255639,5,14,3,11
Pembro,SKCM,curvature,22,LinearSVM,0.5208333333333334,0.3939393939393939,0.44548872180451127,2,17,3,11
Pembro,SKCM,curvature,23,LinearSVM,0.5729166666666666,0.45454545454545453,0.4323308270676692,11,8,10,4
Pembro,SKCM,curvature,24,LinearSVM,0.5833333333333334,0.42424242424242425,0.44360902255639095,6,13,6,8
Pembro,SKCM,curvature,25,LinearSVM,0.6145833333333334,0.42424242424242425,0.41541353383458646,9,10,9,5
Pembro,SKCM,curvature,26,LinearSVM,0.5833333333333334,0.30303030303030304,0.31954887218045114,4,15,8,6
Pembro,SKCM,curvature,27,LinearSVM,0.5625,0.5757575757575758,0.556390977443609,13,6,8,6
Pembro,SKCM,curvature,28,LinearSVM,0.6145833333333334,0.42424242424242425,0.41541353383458646,9,10,9,5
Pembro,SKCM,curvature,29,LinearSVM,0.5625,0.45454545454545453,0.44172932330827064,10,9,9,5
Pembro,SKCM,curvature,30,LinearSVM,0.5416666666666666,0.5757575757575758,0.556390977443609,13,6,8,6
Pembro,SKCM,curvature,31,LinearSVM,0.5625,0.5454545454545454,0.5206766917293233,13,6,9,5
Pembro,SKCM,curvature,32,LinearSVM,0.5833333333333334,0.45454545454545453,0.44172932330827064,10,9,9,5
Pembro,SKCM,curvature,33,LinearSVM,0.6041666666666666,0.5151515151515151,0.5319548872180451,8,11,5,9
Pembro,SKCM,curvature,34,LinearSVM,0.65625,0.42424242424242425,0.424812030075188,8,11,8,6
Pembro,SKCM,curvature,35,LinearSVM,0.6041666666666666,0.3333333333333333,0.3364661654135338,6,13,9,5
Pembro,SKCM,curvature,36,LinearSVM,0.5833333333333334,0.36363636363636365,0.3721804511278195,6,13,8,6
Pembro,SKCM,curvature,37,LinearSVM,0.5520833333333334,0.5454545454545454,0.5300751879699248,12,7,8,6
Pembro,SKCM,curvature,38,LinearSVM,0.5520833333333334,0.6060606060606061,0.6203007518796992,10,9,4,10
Pembro,SKCM,curvature,39,LinearSVM,0.5625,0.5151515151515151,0.5413533834586466,7,12,4,10
Pembro,SKCM,curvature,40,LinearSVM,0.6354166666666666,0.5151515151515151,0.5413533834586466,7,12,4,10
Pembro,SKCM,curvature,41,LinearSVM,0.6041666666666666,0.48484848484848486,0.46804511278195493,11,8,9,5
Pembro,SKCM,curvature,42,LinearSVM,0.53125,0.5151515151515151,0.5319548872180451,8,11,5,9
Pembro,SKCM,curvature,43,LinearSVM,0.625,0.3939393939393939,0.37969924812030076,9,10,10,4
Pembro,SKCM,curvature,44,LinearSVM,0.4895833333333333,0.5454545454545454,0.5394736842105263,11,8,7,7
Pembro,SKCM,curvature,45,LinearSVM,0.5520833333333334,0.3939393939393939,0.3890977443609023,8,11,9,5
Pembro,SKCM,curvature,46,LinearSVM,0.5416666666666666,0.5454545454545454,0.5112781954887218,14,5,10,4
Pembro,SKCM,curvature,47,LinearSVM,0.59375,0.36363636363636365,0.3533834586466165,8,11,10,4
Pembro,SKCM,curvature,48,LinearSVM,0.65625,0.3333333333333333,0.35526315789473684,4,15,7,7
Pembro,SKCM,curvature,49,LinearSVM,0.6041666666666666,0.48484848484848486,0.47744360902255634,10,9,8,6
Pembro,SKCM,weights,0,LinearSVM,0.9895833333333334,0.36363636363636365,0.343984962406015,9,10,11,3
Pembro,SKCM,weights,1,LinearSVM,1.0,0.6363636363636364,0.6278195488721805,13,6,6,8
Pembro,SKCM,weights,2,LinearSVM,1.0,0.45454545454545453,0.4605263157894737,8,11,7,7
Pembro,SKCM,weights,3,LinearSVM,1.0,0.5757575757575758,0.6033834586466165,8,11,3,11
Pembro,SKCM,weights,4,LinearSVM,1.0,0.5454545454545454,0.5300751879699248,12,7,8,6
Pembro,SKCM,weights,5,LinearSVM,1.0,0.45454545454545453,0.44172932330827064,10,9,9,5
Pembro,SKCM,weights,6,LinearSVM,1.0,0.3939393939393939,0.37030075187969924,10,9,11,3
Pembro,SKCM,weights,7,LinearSVM,1.0,0.6363636363636364,0.618421052631579,14,5,7,7
Pembro,SKCM,weights,8,LinearSVM,1.0,0.6363636363636364,0.6090225563909775,15,4,8,6
Pembro,SKCM,weights,9,LinearSVM,1.0,0.5151515151515151,0.513157894736842,10,9,7,7
Pembro,SKCM,weights,10,LinearSVM,1.0,0.48484848484848486,0.46804511278195493,11,8,9,5
Pembro,SKCM,weights,11,LinearSVM,1.0,0.6363636363636364,0.6560150375939849,10,9,3,11
Pembro,SKCM,weights,12,LinearSVM,0.9895833333333334,0.48484848484848486,0.48684210526315785,9,10,7,7
Pembro,SKCM,weights,13,LinearSVM,0.9895833333333334,0.5454545454545454,0.5300751879699248,12,7,8,6
Pembro,SKCM,weights,14,LinearSVM,0.9791666666666666,0.48484848484848486,0.5056390977443609,7,12,5,9
Pembro,SKCM,weights,15,LinearSVM,0.9895833333333334,0.6666666666666666,0.6823308270676691,11,8,3,11
Pembro,SKCM,weights,16,LinearSVM,1.0,0.48484848484848486,0.49624060150375937,8,11,6,8
Pembro,SKCM,weights,17,LinearSVM,1.0,0.6363636363636364,0.618421052631579,14,5,7,7
Pembro,SKCM,weights,18,LinearSVM,0.9895833333333334,0.696969696969697,0.7086466165413534,12,7,3,11
Pembro,SKCM,weights,19,LinearSVM,0.9791666666666666,0.5757575757575758,0.5939849624060151,9,10,4,10
