drug,tissue,feature,iter,model,Train Accuracy,Test Accuracy,Test Balanced Accuracy,Test TN,Test FP,Test FN,Test TP
Pembro,STAD,curvature,0,LinearSVM,0.8484848484848485,0.6666666666666666,0.5555555555555556,7,2,2,1
Pembro,STAD,curvature,1,LinearSVM,0.9090909090909091,0.6666666666666666,0.4444444444444444,8,1,3,0
Pembro,STAD,curvature,2,LinearSVM,0.8787878787878788,0.75,0.5,9,0,3,0
Pembro,STAD,curvature,3,LinearSVM,0.8787878787878788,0.5833333333333334,0.3888888888888889,7,2,3,0
Pembro,STAD,curvature,4,LinearSVM,0.8181818181818182,0.75,0.7222222222222222,7,2,1,2
Pembro,STAD,curvature,5,LinearSVM,0.9393939393939394,0.5,0.3333333333333333,6,3,3,0
Pembro,STAD,curvature,6,LinearSVM,0.8787878787878788,0.8333333333333334,0.6666666666666666,9,0,2,1
Pembro,STAD,curvature,7,LinearSVM,1.0,0.6666666666666666,0.4444444444444444,8,1,3,0
Pembro,STAD,curvature,8,LinearSVM,0.9393939393939394,0.5833333333333334,0.3888888888888889,7,2,3,0
Pembro,STAD,curvature,9,LinearSVM,0.9090909090909091,0.6666666666666666,0.5555555555555556,7,2,2,1
Pembro,STAD,curvature,10,LinearSVM,0.8787878787878788,0.6666666666666666,0.5555555555555556,7,2,2,1
Pembro,STAD,curvature,11,LinearSVM,0.8787878787878788,0.5833333333333334,0.3888888888888889,7,2,3,0
Pembro,STAD,curvature,12,LinearSVM,0.9696969696969697,0.6666666666666666,0.4444444444444444,8,1,3,0
Pembro,STAD,curvature,13,LinearSVM,0.9393939393939394,0.6666666666666666,0.4444444444444444,8,1,3,0
Pembro,STAD,curvature,14,LinearSVM,0.8484848484848485,0.75,0.7222222222222222,7,2,1,2
Pembro,STAD,curvature,15,LinearSVM,0.8787878787878788,0.5833333333333334,0.6111111111111112,5,4,1,2
Pembro,STAD,curvature,16,LinearSVM,0.8484848484848485,0.5833333333333334,0.5,6,3,2,1
Pembro,STAD,curvature,17,LinearSVM,0.9696969696969697,0.5833333333333334,0.3888888888888889,7,2,3,0
Pembro,STAD,curvature,18,LinearSVM,0.9090909090909091,0.75,0.611111111111111,8,1,2,1
Pembro,STAD,curvature,19,LinearSVM,0.9090909090909091,0.6666666666666666,0.5555555555555556,7,2,2,1
Pembro,STAD,curvature,20,LinearSVM,0.8484848484848485,0.75,0.7222222222222222,7,2,1,2
Pembro,STAD,curvature,21,LinearSVM,1.0,0.5833333333333334,0.3888888888888889,7,2,3,0
Pembro,STAD,curvature,22,LinearSVM,0.7878787878787878,0.75,0.611111111111111,8,1,2,1
Pembro,STAD,curvature,23,LinearSVM,0.9090909090909091,0.75,0.611111111111111,8,1,2,1
Pembro,STAD,curvature,24,LinearSVM,0.8484848484848485,0.6666666666666666,0.5555555555555556,7,2,2,1
Pembro,STAD,curvature,25,LinearSVM,0.9393939393939394,0.5,0.3333333333333333,6,3,3,0
Pembro,STAD,curvature,26,LinearSVM,1.0,0.5833333333333334,0.3888888888888889,7,2,3,0
Pembro,STAD,curvature,27,LinearSVM,0.9393939393939394,0.5833333333333334,0.5,6,3,2,1
Pembro,STAD,curvature,28,LinearSVM,0.9696969696969697,0.3333333333333333,0.3333333333333333,3,6,2,1
Pembro,STAD,curvature,29,LinearSVM,0.9696969696969697,0.6666666666666666,0.4444444444444444,8,1,3,0
Pembro,STAD,curvature,30,LinearSVM,0.8787878787878788,0.5,0.4444444444444444,5,4,2,1
Pembro,STAD,curvature,31,LinearSVM,0.8484848484848485,0.5833333333333334,0.5,6,3,2,1
